Psalm1.0	Psalm 1. Beatus vir, qui non abiit.	Psalm 1. Beatus vir, qui non abiit.	1000	1
Psalm80.14	14 Turn thee again, thou God of hosts, look down from heaven * behold, and visit this vine;	Turn thee again, thou God of hosts, look down from heaven * behold, and visit this vine;	80014	1397
Psalm80.15	15 And the place of the vineyard that thy right hand hath planted * and the branch that thou madest so strong for thyself.	And the place of the vineyard that thy right hand hath planted * and the branch that thou madest so strong for thyself.	80015	1398
Psalm80.16	16 It is burnt with fire, and cut down * and they shall perish at the rebuke of thy countenance.	It is burnt with fire, and cut down * and they shall perish at the rebuke of thy countenance.	80016	1399
Psalm80.17	17 Let thy hand be upon the man of thy right hand * and upon the son of man, whom thou madest so strong for thine own self.	Let thy hand be upon the man of thy right hand * and upon the son of man, whom thou madest so strong for thine own self.	80017	1400
Psalm80.18	18 And so will not we go back from thee * O let us live, and we shall call upon thy Name.	And so will not we go back from thee * O let us live, and we shall call upon thy Name.	80018	1401
Psalm80.19	19 Turn us again, O Lord God of hosts * shew the light of thy countenance, and we shall be whole.	Turn us again, O Lord God of hosts * shew the light of thy countenance, and we shall be whole.	80019	1402
Psalm81.0	Psalm 81. Exultate Deo.	Psalm 81. Exultate Deo.	81000	1403
Psalm81.1	1 SING we merrily unto God our strength * make a cheerful noise unto the God of Jacob.	SING we merrily unto God our strength * make a cheerful noise unto the God of Jacob.	81001	1404
Psalm81.2	2 Take the psalm, bring hither the tabret * the merry harp with the lute.	Take the psalm, bring hither the tabret * the merry harp with the lute.	81002	1405
Psalm81.3	3 Blow up the trumpet in the new-moon * even in the time appointed, and upon our solemn feast-day.	Blow up the trumpet in the new-moon * even in the time appointed, and upon our solemn feast-day.	81003	1406
Psalm81.4	4 For this was made a statute for Israel * and a law of the God of Jacob.	For this was made a statute for Israel * and a law of the God of Jacob.	81004	1407
Psalm81.5	5 This he ordained in Joseph for a testimony * when he came out of the land of Egypt, and had heard a strange language.	This he ordained in Joseph for a testimony * when he came out of the land of Egypt, and had heard a strange language.	81005	1408
Psalm81.6	6 I eased his shoulder from the burden * and his hands were delivered from making the pots.	I eased his shoulder from the burden * and his hands were delivered from making the pots.	81006	1409
Psalm81.7	7 Thou calledst upon me in troubles, and I delivered thee * and heard thee what time as the storm fell upon thee.	Thou calledst upon me in troubles, and I delivered thee * and heard thee what time as the storm fell upon thee.	81007	1410
Psalm81.8	8 I proved thee also * at the waters of strife.	I proved thee also * at the waters of strife.	81008	1411
Psalm81.9	9 Hear, O my people, and I will assure thee, O Israel * if thou wilt hearken unto me,	Hear, O my people, and I will assure thee, O Israel * if thou wilt hearken unto me,	81009	1412
Psalm81.10	10 There shall no strange god be in thee * neither shalt thou worship any other god.	There shall no strange god be in thee * neither shalt thou worship any other god.	81010	1413
Psalm81.11	11 I am the Lord thy God, who brought thee out of the land of Egypt * open thy mouth wide, and I shall fill it.	I am the Lord thy God, who brought thee out of the land of Egypt * open thy mouth wide, and I shall fill it.	81011	1414
Psalm81.12	12 But my people would not hear my voice * and Israel would not obey me.	But my people would not hear my voice * and Israel would not obey me.	81012	1415
Psalm81.13	13 So I gave them up unto their own hearts' lusts * and let them follow their own imaginations.	So I gave them up unto their own hearts' lusts * and let them follow their own imaginations.	81013	1416
Psalm81.14	14 O that my people would have hearkened unto me * for if Israel had walked in my ways,	O that my people would have hearkened unto me * for if Israel had walked in my ways,	81014	1417
Psalm81.15	15 I should soon have put down their enemies * and turned my hand against their adversaries.	I should soon have put down their enemies * and turned my hand against their adversaries.	81015	1418
Psalm81.16	16 The haters of the Lord should have been found liars * but their time should have endured for ever.	The haters of the Lord should have been found liars * but their time should have endured for ever.	81016	1419
Psalm81.17	17 He should have fed them also with the finest wheat-flour * and with honey out of the stony rock should I have satisfied thee.	He should have fed them also with the finest wheat-flour * and with honey out of the stony rock should I have satisfied thee.	81017	1420
Psalm82.0	Psalm 82. Deus stetit.	Psalm 82. Deus stetit.	82000	1421
Psalm82.1	1 GOD standeth in the congregation of princes * he is a Judge among gods.	GOD standeth in the congregation of princes * he is a Judge among gods.	82001	1422
Psalm82.2	2 How long will ye give wrong judgement * and accept the persons of the ungodly?	How long will ye give wrong judgement * and accept the persons of the ungodly?	82002	1423
Psalm82.3	3 Defend the poor and fatherless * see that such as are in need and necessity have right.	Defend the poor and fatherless * see that such as are in need and necessity have right.	82003	1424
Psalm82.4	4 Deliver the outcast and poor * save them from the hand of the ungodly.	Deliver the outcast and poor * save them from the hand of the ungodly.	82004	1425
Psalm82.5	5 They will not be learned nor understand, but walk on still in darkness * all the foundations of the earth are out of course.	They will not be learned nor understand, but walk on still in darkness * all the foundations of the earth are out of course.	82005	1426
Psalm82.6	6 I have said, Ye are gods * and ye are all the children of the most Highest.	I have said, Ye are gods * and ye are all the children of the most Highest.	82006	1427
Psalm82.7	7 But ye shall die like men * and fall like one of the princes.	But ye shall die like men * and fall like one of the princes.	82007	1428
Psalm82.8	8 Arise, O God, and judge thou the earth * for thou shalt take all heathen to thine inheritance.	Arise, O God, and judge thou the earth * for thou shalt take all heathen to thine inheritance.	82008	1429
Psalm83.0	Psalm 83. Deus, quis similis?	Psalm 83. Deus, quis similis?	83000	1430
Psalm83.1	1 HOLD not thy tongue, O God, keep not still silence * refrain not thyself, O God.	HOLD not thy tongue, O God, keep not still silence * refrain not thyself, O God.	83001	1431
Psalm83.2	2 For lo, thine enemies make a murmuring * and they that hate thee have lift up their head.	For lo, thine enemies make a murmuring * and they that hate thee have lift up their head.	83002	1432
Psalm83.3	3 They have imagined craftily against thy people * and taken counsel against thy secret ones.	They have imagined craftily against thy people * and taken counsel against thy secret ones.	83003	1433
Psalm83.4	4 They have said, Come, and let us root them out, that they be no more a people * and that the name of Israel may be no more in remembrance.	They have said, Come, and let us root them out, that they be no more a people * and that the name of Israel may be no more in remembrance.	83004	1434
Psalm83.5	5 For they have cast their heads together with one consent * and are confederate against thee;	For they have cast their heads together with one consent * and are confederate against thee;	83005	1435
Psalm83.6	6 The tabernacles of the Edomites, and the Ismaelites * the Moabites and Hagarenes;	The tabernacles of the Edomites, and the Ismaelites * the Moabites and Hagarenes;	83006	1436
Psalm83.7	7 Gebal, and Ammon, and Amalek * the Philistines, with them that dwell at Tyre.	Gebal, and Ammon, and Amalek * the Philistines, with them that dwell at Tyre.	83007	1437
Psalm83.8	8 Assur also is joined with them * and have holpen the children of Lot.	Assur also is joined with them * and have holpen the children of Lot.	83008	1438
Psalm83.9	9 But do thou to them as unto the Madianites * unto Sisera, and unto Jabin at the brook of Kison;	But do thou to them as unto the Madianites * unto Sisera, and unto Jabin at the brook of Kison;	83009	1439
Psalm83.10	10 Who perished at Endor * and became as the dung of the earth.	Who perished at Endor * and became as the dung of the earth.	83010	1440
Psalm83.11	11 Make them and their princes like Oreb and Zeb * yea, make all their princes like as Zeba and Salmana;	Make them and their princes like Oreb and Zeb * yea, make all their princes like as Zeba and Salmana;	83011	1441
Psalm83.12	12 Who say, Let us take to ourselves * the houses of God in possession.	Who say, Let us take to ourselves * the houses of God in possession.	83012	1442
Psalm83.13	13 O my God, make them like unto a wheel * and as the stubble before the wind;	O my God, make them like unto a wheel * and as the stubble before the wind;	83013	1443
Psalm83.14	14 Like as the fire that burneth up the wood * and as the flame that consumeth the mountains.	Like as the fire that burneth up the wood * and as the flame that consumeth the mountains.	83014	1444
Psalm83.15	15 Persecute them even so with thy tempest * and make them afraid with thy storm.	Persecute them even so with thy tempest * and make them afraid with thy storm.	83015	1445
Psalm83.16	16 Make their faces ashamed, O Lord * that they may seek thy Name.	Make their faces ashamed, O Lord * that they may seek thy Name.	83016	1446
Psalm83.17	17 Let them be confounded and vexed ever more and more * let them be put to shame, and perish.	Let them be confounded and vexed ever more and more * let them be put to shame, and perish.	83017	1447
Psalm83.18	18 And they shall know that thou, whose Name is Jehovah * art only the most Highest over all the earth.	And they shall know that thou, whose Name is Jehovah * art only the most Highest over all the earth.	83018	1448
Psalm84.0	Psalm 84. Quam dilecta!	Psalm 84. Quam dilecta!	84000	1449
Psalm84.1	1 O HOW amiable are thy dwellings * thou Lord of hosts!	O HOW amiable are thy dwellings * thou Lord of hosts!	84001	1450
Psalm84.2	2 My soul hath a desire and longing to enter into the courts of the Lord * my heart and my flesh rejoice in the living God.	My soul hath a desire and longing to enter into the courts of the Lord * my heart and my flesh rejoice in the living God.	84002	1451
Psalm84.3	3 Yea, the sparrow hath found her an house, and the swallow a nest where she may lay her young * even thy altars, O Lord of hosts, my King and my God.	Yea, the sparrow hath found her an house, and the swallow a nest where she may lay her young * even thy altars, O Lord of hosts, my King and my God.	84003	1452
Psalm84.4	4 Blessed are they that dwell in thy house * they will be alway praising thee.	Blessed are they that dwell in thy house * they will be alway praising thee.	84004	1453
Psalm84.5	5 Blessed is the man whose strength is in thee * in whose heart are thy ways.	Blessed is the man whose strength is in thee * in whose heart are thy ways.	84005	1454
Psalm84.6	6 Who going through the vale of misery use it for a well * and the pools are filled with water.	Who going through the vale of misery use it for a well * and the pools are filled with water.	84006	1455
Psalm84.7	7 They will go from strength to strength * and unto the God of gods appeareth every one of them in Sion.	They will go from strength to strength * and unto the God of gods appeareth every one of them in Sion.	84007	1456
Psalm84.8	8 O Lord God of hosts, hear my prayer * hearken, O God of Jacob.	O Lord God of hosts, hear my prayer * hearken, O God of Jacob.	84008	1457
Psalm84.9	9 Behold, O God our defender * and look upon the face of thine Anointed.	Behold, O God our defender * and look upon the face of thine Anointed.	84009	1458
Psalm84.10	10 For one day in thy courts * is better than a thousand.	For one day in thy courts * is better than a thousand.	84010	1459
Psalm84.11	11 I had rather be a door-keeper in the house of my God * than to dwell in the tents of ungodliness.	I had rather be a door-keeper in the house of my God * than to dwell in the tents of ungodliness.	84011	1460
Psalm84.12	12 For the Lord God is a light and defence * the Lord will give grace and worship, and no good thing shall he withhold from them that live a godly life.	For the Lord God is a light and defence * the Lord will give grace and worship, and no good thing shall he withhold from them that live a godly life.	84012	1461
Psalm84.13	13 O Lord God of hosts * blessed is the man that putteth his trust in thee.	O Lord God of hosts * blessed is the man that putteth his trust in thee.	84013	1462
Psalm85.0	Psalm 85. Benedixisti, Domine.	Psalm 85. Benedixisti, Domine.	85000	1463
Psalm85.1	1 LORD, thou art become gracious unto thy land * thou hast turned away the captivity of Jacob.	LORD, thou art become gracious unto thy land * thou hast turned away the captivity of Jacob.	85001	1464
Psalm85.2	2 Thou hast forgiven the offence of thy people * and covered all their sins.	Thou hast forgiven the offence of thy people * and covered all their sins.	85002	1465
Psalm85.3	3 Thou hast taken away all thy displeasure * and turned thyself from thy wrathful indignation.	Thou hast taken away all thy displeasure * and turned thyself from thy wrathful indignation.	85003	1466
Psalm85.4	4 Turn us then, O God our Saviour * and let thine anger cease from us.	Turn us then, O God our Saviour * and let thine anger cease from us.	85004	1467
Psalm85.5	5 Wilt thou be displeased at us for ever * and wilt thou stretch out thy wrath from one generation to another?	Wilt thou be displeased at us for ever * and wilt thou stretch out thy wrath from one generation to another?	85005	1468
Psalm85.6	6 Wilt thou not turn again, and quicken us * that thy people may rejoice in thee?	Wilt thou not turn again, and quicken us * that thy people may rejoice in thee?	85006	1469
Psalm85.7	7 Shew us thy mercy, O Lord * and grant us thy salvation.	Shew us thy mercy, O Lord * and grant us thy salvation.	85007	1470
Psalm85.8	8 I will hearken what the Lord God will say concerning me * for he shall speak peace unto his people, and to his saints, that they turn not again.	I will hearken what the Lord God will say concerning me * for he shall speak peace unto his people, and to his saints, that they turn not again.	85008	1471
Psalm85.9	9 For his salvation is nigh them that fear him * that glory may dwell in our land.	For his salvation is nigh them that fear him * that glory may dwell in our land.	85009	1472
Psalm85.10	10 Mercy and truth are met together * righteousness and peace have kissed each other.	Mercy and truth are met together * righteousness and peace have kissed each other.	85010	1473
Psalm85.11	11 Truth shall flourish out of the earth * and righteousness hath looked down from heaven.	Truth shall flourish out of the earth * and righteousness hath looked down from heaven.	85011	1474
Psalm85.12	12 Yea, the Lord shall shew loving-kindness * and our land shall give her increase.	Yea, the Lord shall shew loving-kindness * and our land shall give her increase.	85012	1475
Psalm85.13	13 Righteousness shall go before him * and he shall direct his going in the way.	Righteousness shall go before him * and he shall direct his going in the way.	85013	1476
Psalm86.0	Psalm 86. Inclina, Domine.	Psalm 86. Inclina, Domine.	86000	1477
Psalm86.1	1 BOW down thine ear, O Lord, and hear me * for I am poor, and in misery.	BOW down thine ear, O Lord, and hear me * for I am poor, and in misery.	86001	1478
Psalm86.2	2 Preserve thou my soul, for I am holy * my God, save thy servant that putteth his trust in thee.	Preserve thou my soul, for I am holy * my God, save thy servant that putteth his trust in thee.	86002	1479
Psalm86.3	3 Be merciful unto me, O Lord * for I will call daily upon thee.	Be merciful unto me, O Lord * for I will call daily upon thee.	86003	1480
Psalm86.4	4 Comfort the soul of thy servant * for unto thee, O Lord, do I lift up my soul.	Comfort the soul of thy servant * for unto thee, O Lord, do I lift up my soul.	86004	1481
Psalm86.5	5 For thou, Lord, art good and gracious * and of great mercy unto all them that call upon thee.	For thou, Lord, art good and gracious * and of great mercy unto all them that call upon thee.	86005	1482
Psalm86.6	6 Give ear, Lord, unto my prayer * and ponder the voice of my humble desires.	Give ear, Lord, unto my prayer * and ponder the voice of my humble desires.	86006	1483
Psalm86.7	7 In the time of my trouble I will call upon thee * for thou hearest me.	In the time of my trouble I will call upon thee * for thou hearest me.	86007	1484
Psalm86.8	8 Among the gods there is none like unto thee, O Lord * there is not one that can do as thou doest.	Among the gods there is none like unto thee, O Lord * there is not one that can do as thou doest.	86008	1485
Psalm86.9	9 All nations whom thou hadst made shall come and worship thee, O Lord * and shall glorify thy Name.	All nations whom thou hadst made shall come and worship thee, O Lord * and shall glorify thy Name.	86009	1486
Psalm86.10	10 For thou art great, and doest wondrous things * thou art God alone.	For thou art great, and doest wondrous things * thou art God alone.	86010	1487
Psalm86.11	11 Teach me thy way, O Lord, and I will walk in thy truth * O knit my heart unto thee, that I may fear thy Name.	Teach me thy way, O Lord, and I will walk in thy truth * O knit my heart unto thee, that I may fear thy Name.	86011	1488
Psalm86.12	12 I will thank thee, O Lord my God, with all my heart * and will praise thy Name for evermore.	I will thank thee, O Lord my God, with all my heart * and will praise thy Name for evermore.	86012	1489
Psalm86.13	13 For great is thy mercy toward me * and thou hast delivered my soul from the nethermost hell.	For great is thy mercy toward me * and thou hast delivered my soul from the nethermost hell.	86013	1490
Psalm86.14	14 O God, the proud are risen against me * and the congregations of naughty men have sought after my soul, and have not set thee before their eyes.	O God, the proud are risen against me * and the congregations of naughty men have sought after my soul, and have not set thee before their eyes.	86014	1491
Psalm86.15	15 But thou, O Lord God, art full of compassion and mercy * long-suffering, plenteous in goodness and truth.	But thou, O Lord God, art full of compassion and mercy * long-suffering, plenteous in goodness and truth.	86015	1492
Psalm86.16	16 O turn thee then unto me, and have mercy upon me * give thy strength unto thy servant, and help the son of thine handmaid.	O turn thee then unto me, and have mercy upon me * give thy strength unto thy servant, and help the son of thine handmaid.	86016	1493
Psalm86.17	17 Shew some token upon me for good, that they who hate me may see it and be ashamed * because thou, Lord, hast holpen me and comforted me.	Shew some token upon me for good, that they who hate me may see it and be ashamed * because thou, Lord, hast holpen me and comforted me.	86017	1494
Psalm87.0	Psalm 87. Fundamenta ejus.	Psalm 87. Fundamenta ejus.	87000	1495
Psalm87.1	1 HER foundations are upon the holy hills * the Lord loveth the gates of Sion more than all the dwellings of Jacob.	HER foundations are upon the holy hills * the Lord loveth the gates of Sion more than all the dwellings of Jacob.	87001	1496
Psalm87.2	2 Very excellent things are spoken of thee * thou city of God.	Very excellent things are spoken of thee * thou city of God.	87002	1497
Psalm87.3	3 I will think upon Rahab and Babylon * with them that know me.	I will think upon Rahab and Babylon * with them that know me.	87003	1498
Psalm87.4	4 Behold ye the Philistines also * and they of Tyre, with the Morians; lo, there was he born.	Behold ye the Philistines also * and they of Tyre, with the Morians; lo, there was he born.	87004	1499
Psalm87.5	5 And of Sion it shall be reported that he was born in her * and the most High shall stablish her.	And of Sion it shall be reported that he was born in her * and the most High shall stablish her.	87005	1500
Psalm87.6	6 The Lord shall rehearse it when he writeth up the people * that he was born there.	The Lord shall rehearse it when he writeth up the people * that he was born there.	87006	1501
Psalm87.7	7 The singers also and trumpeters shall he rehearse * All my fresh springs shall be in thee.	The singers also and trumpeters shall he rehearse * All my fresh springs shall be in thee.	87007	1502
Psalm88.0	Psalm 88. Domine Deus.	Psalm 88. Domine Deus.	88000	1503
Psalm88.1	1 O LORD God of my salvation, I have cried day and night before thee * O let my prayer enter into thy presence, incline thine ear unto my calling.	O LORD God of my salvation, I have cried day and night before thee * O let my prayer enter into thy presence, incline thine ear unto my calling.	88001	1504
Psalm88.2	2 For my soul is full of trouble * and my life draweth nigh unto hell.	For my soul is full of trouble * and my life draweth nigh unto hell.	88002	1505
Psalm88.3	3 I am counted as one of them that go down into the pit * and I have been even as a man that hath no strength.	I am counted as one of them that go down into the pit * and I have been even as a man that hath no strength.	88003	1506
Psalm88.4	4 Free among the dead, like unto them that are wounded, and lie in the grave * who are out of remembrance, and are cut away from thy hand.	Free among the dead, like unto them that are wounded, and lie in the grave * who are out of remembrance, and are cut away from thy hand.	88004	1507
Psalm88.5	5 Thou hast laid me in the lowest pit * in a place of darkness, and in the deep.	Thou hast laid me in the lowest pit * in a place of darkness, and in the deep.	88005	1508
Psalm88.6	6 Thine indignation lieth hard upon me * and thou hast vexed me with all thy storms.	Thine indignation lieth hard upon me * and thou hast vexed me with all thy storms.	88006	1509
Psalm88.7	7 Thou hast put away mine acquaintance far from me * and made me to be abhorred of them.	Thou hast put away mine acquaintance far from me * and made me to be abhorred of them.	88007	1510
Psalm88.8	8 I am so fast in prison * that I cannot get forth.	I am so fast in prison * that I cannot get forth.	88008	1511
Psalm88.9	9 My sight faileth for very trouble * Lord, I have called daily upon thee, I have stretched forth my hands unto thee.	My sight faileth for very trouble * Lord, I have called daily upon thee, I have stretched forth my hands unto thee.	88009	1512
Psalm88.10	10 Dost thou shew wonders among the dead * or shall the dead rise up again, and praise thee?	Dost thou shew wonders among the dead * or shall the dead rise up again, and praise thee?	88010	1513
Psalm88.11	11 Shall thy loving-kindness be shewed in the grave * or thy faithfulness in destruction?	Shall thy loving-kindness be shewed in the grave * or thy faithfulness in destruction?	88011	1514
Psalm88.12	12 Shall thy wondrous works be known in the dark * and thy righteousness in the land where all things are forgotten?	Shall thy wondrous works be known in the dark * and thy righteousness in the land where all things are forgotten?	88012	1515
Psalm88.13	13 Unto thee have I cried, O Lord * and early shall my prayer come before thee.	Unto thee have I cried, O Lord * and early shall my prayer come before thee.	88013	1516
Psalm88.14	14 Lord, why abhorrest thou my soul * and hidest thou thy face from me?	Lord, why abhorrest thou my soul * and hidest thou thy face from me?	88014	1517
Psalm88.15	15 I am in misery, and like unto him that is at the point to die * even from my youth up thy terrors have I suffered with a troubled mind.	I am in misery, and like unto him that is at the point to die * even from my youth up thy terrors have I suffered with a troubled mind.	88015	1518
Psalm88.16	16 Thy wrathful displeasure goeth over me * and the fear of thee hath undone me.	Thy wrathful displeasure goeth over me * and the fear of thee hath undone me.	88016	1519
Psalm88.17	17 They came round about me daily like water * and compassed me together on every side.	They came round about me daily like water * and compassed me together on every side.	88017	1520
Psalm88.18	18 My lovers and friends hast thou put away from me * and hid mine acquaintance out of my sight.	My lovers and friends hast thou put away from me * and hid mine acquaintance out of my sight.	88018	1521
Psalm89.0	Psalm 89. Misericordias Domini.	Psalm 89. Misericordias Domini.	89000	1522
Psalm89.1	1 MY SONG shall be alway of the loving-kindness of the Lord * with my mouth will I ever be shewing thy truth from one generation to another.	MY SONG shall be alway of the loving-kindness of the Lord * with my mouth will I ever be shewing thy truth from one generation to another.	89001	1523
Psalm89.2	2 For I have said, Mercy shall be set up for ever * thy truth shalt thou stablish in the heavens.	For I have said, Mercy shall be set up for ever * thy truth shalt thou stablish in the heavens.	89002	1524
Psalm89.3	3 I have made a covenant with my chosen * I have sworn unto David my servant;	I have made a covenant with my chosen * I have sworn unto David my servant;	89003	1525
Psalm89.4	4 Thy seed will I stablish for ever * and set up thy throne from one generation to another.	Thy seed will I stablish for ever * and set up thy throne from one generation to another.	89004	1526
Psalm89.5	5 O Lord, the very heavens shall praise thy wondrous works * and thy truth in the congregation of the saints.	O Lord, the very heavens shall praise thy wondrous works * and thy truth in the congregation of the saints.	89005	1527
Psalm89.6	6 For who is he among the clouds * that shall be compared unto the Lord?	For who is he among the clouds * that shall be compared unto the Lord?	89006	1528
Psalm89.7	7 And what is he among the gods * that shall be like unto the Lord?	And what is he among the gods * that shall be like unto the Lord?	89007	1529
Psalm89.8	8 God is very greatly to be feared in the council of the saints * and to be had in reverence of all them that are round about him.	God is very greatly to be feared in the council of the saints * and to be had in reverence of all them that are round about him.	89008	1530
Psalm89.9	9 O Lord God of hosts, who is like unto thee * thy truth, most mighty Lord, is on every side.	O Lord God of hosts, who is like unto thee * thy truth, most mighty Lord, is on every side.	89009	1531
Psalm89.10	10 Thou rulest the raging of the sea * thou stillest the waves thereof when they arise.	Thou rulest the raging of the sea * thou stillest the waves thereof when they arise.	89010	1532
Psalm89.11	11 Thou hast subdued Egypt, and destroyed it * thou hast scattered thine enemies abroad with thy mighty arm.	Thou hast subdued Egypt, and destroyed it * thou hast scattered thine enemies abroad with thy mighty arm.	89011	1533
Psalm89.12	12 The heavens are thine, the earth also is thine * thou hast laid the foundation of the round world, and all that therein is.	The heavens are thine, the earth also is thine * thou hast laid the foundation of the round world, and all that therein is.	89012	1534
Psalm89.13	13 Thou hast made the north and the south * Tabor and Hermon shall rejoice in thy Name.	Thou hast made the north and the south * Tabor and Hermon shall rejoice in thy Name.	89013	1535
Psalm89.14	14 Thou hast a mighty arm * strong is thy hand, and high is thy right hand.	Thou hast a mighty arm * strong is thy hand, and high is thy right hand.	89014	1536
Psalm89.15	15 Righteousness and equity are the habitation of thy seat * mercy and truth shall go before thy face.	Righteousness and equity are the habitation of thy seat * mercy and truth shall go before thy face.	89015	1537
Psalm89.16	16 Blessed is the people, O Lord, that can rejoice in thee * they shall walk in the light of thy countenance.	Blessed is the people, O Lord, that can rejoice in thee * they shall walk in the light of thy countenance.	89016	1538
Psalm89.17	17 Their delight shall be daily in thy Name * and in thy righteousness shall they make their boast.	Their delight shall be daily in thy Name * and in thy righteousness shall they make their boast.	89017	1539
Psalm89.18	18 For thou art the glory of their strength * and in thy loving-kindness thou shalt lift up our horns.	For thou art the glory of their strength * and in thy loving-kindness thou shalt lift up our horns.	89018	1540
Psalm89.19	19 For the Lord is our defence * the Holy One of Israel is our King.	For the Lord is our defence * the Holy One of Israel is our King.	89019	1541
Psalm89.20	20 Thou spakest sometime in visions unto thy saints, and saidst * I have laid help upon one that is mighty; I have exalted one chosen out of the people.	Thou spakest sometime in visions unto thy saints, and saidst * I have laid help upon one that is mighty; I have exalted one chosen out of the people.	89020	1542
Psalm89.21	21 I have found David my servant * with my holy oil have I anointed him.	I have found David my servant * with my holy oil have I anointed him.	89021	1543
Psalm89.22	22 My hand shall hold him fast * and my arm shall strengthen him.	My hand shall hold him fast * and my arm shall strengthen him.	89022	1544
Psalm89.23	23 The enemy shall not be able to do him violence * the son of wickedness shall not hurt him.	The enemy shall not be able to do him violence * the son of wickedness shall not hurt him.	89023	1545
Psalm89.24	24 I will smite down his foes before his face * and plague them that hate him.	I will smite down his foes before his face * and plague them that hate him.	89024	1546
Psalm89.25	25 My truth also and my mercy shall be with him * and in my Name shall his horn be exalted.	My truth also and my mercy shall be with him * and in my Name shall his horn be exalted.	89025	1547
Psalm89.26	26 I will set his dominion also in the sea * and his right hand in the floods.	I will set his dominion also in the sea * and his right hand in the floods.	89026	1548
Psalm89.27	27 He shall call me, Thou art my Father * my God, and my strong salvation.	He shall call me, Thou art my Father * my God, and my strong salvation.	89027	1549
Psalm89.28	28 And I will make him my first-born * higher than the kings of the earth.	And I will make him my first-born * higher than the kings of the earth.	89028	1550
Psalm89.29	29 My mercy will I keep for him for evermore * and my covenant shall stand fast with him.	My mercy will I keep for him for evermore * and my covenant shall stand fast with him.	89029	1551
Psalm89.30	30 His seed also will I make to endure for ever * and his throne as the days of heaven.	His seed also will I make to endure for ever * and his throne as the days of heaven.	89030	1552
Psalm89.31	31 But if his children forsake my law * and walk not in my judgements;	But if his children forsake my law * and walk not in my judgements;	89031	1553
Psalm89.32	32 If they break my statutes, and keep not my commandments * I will visit their offences with the rod, and their sin with scourges.	If they break my statutes, and keep not my commandments * I will visit their offences with the rod, and their sin with scourges.	89032	1554
Psalm89.33	33 Nevertheless, my loving-kindness will I not utterly take from him * nor suffer my truth to fail.	Nevertheless, my loving-kindness will I not utterly take from him * nor suffer my truth to fail.	89033	1555
Psalm89.34	34 My covenant I will not break, nor alter the thing that is gone out of my lips * I have sworn once by my holiness, that I will not fail David.	My covenant I will not break, nor alter the thing that is gone out of my lips * I have sworn once by my holiness, that I will not fail David.	89034	1556
Psalm89.35	35 His seed shall endure for ever * and his seat is like as the sun before me.	His seed shall endure for ever * and his seat is like as the sun before me.	89035	1557
Psalm89.36	36 He shall stand fast for evermore as the moon * and as the faithful witness in heaven.	He shall stand fast for evermore as the moon * and as the faithful witness in heaven.	89036	1558
Psalm89.37	37 But thou hast abhorred and forsaken thine Anointed * and art displeased at him.	But thou hast abhorred and forsaken thine Anointed * and art displeased at him.	89037	1559
Psalm89.38	38 Thou hast broken the covenant of thy servant * and cast his crown to the ground.	Thou hast broken the covenant of thy servant * and cast his crown to the ground.	89038	1560
Psalm89.39	39 Thou hast overthrown all his hedges * and broken down his strong holds.	Thou hast overthrown all his hedges * and broken down his strong holds.	89039	1561
Psalm89.40	40 All they that go by spoil him * and he is become a reproach to his neighbours.	All they that go by spoil him * and he is become a reproach to his neighbours.	89040	1562
Psalm89.41	41 Thou hast set up the right hand of his enemies * and made all his adversaries to rejoice.	Thou hast set up the right hand of his enemies * and made all his adversaries to rejoice.	89041	1563
Psalm89.42	42 Thou hast taken away the edge of his sword * and givest him not victory in the battle.	Thou hast taken away the edge of his sword * and givest him not victory in the battle.	89042	1564
Psalm89.43	43 Thou hast put out his glory * and cast his throne down to the ground.	Thou hast put out his glory * and cast his throne down to the ground.	89043	1565
Psalm89.44	44 The days of his youth hast thou shortened * and covered him with dishonour.	The days of his youth hast thou shortened * and covered him with dishonour.	89044	1566
Psalm89.45	45 Lord, how long wilt thou hide thyself, for ever * and shall thy wrath burn like fire?	Lord, how long wilt thou hide thyself, for ever * and shall thy wrath burn like fire?	89045	1567
Psalm89.46	46 O remember how short my time is * wherefore hast thou made all men for nought?	O remember how short my time is * wherefore hast thou made all men for nought?	89046	1568
Psalm89.47	47 What man is he that liveth, and shall not see death * and shall he deliver his soul from the hand of hell?	What man is he that liveth, and shall not see death * and shall he deliver his soul from the hand of hell?	89047	1569
Psalm89.48	48 Lord, where are thy old loving-kindnesses * which thou swarest unto David in thy truth?	Lord, where are thy old loving-kindnesses * which thou swarest unto David in thy truth?	89048	1570
Psalm89.49	49 Remember, Lord, the rebuke that thy servants have * and how I do bear in my bosom the rebukes of many people.	Remember, Lord, the rebuke that thy servants have * and how I do bear in my bosom the rebukes of many people.	89049	1571
Psalm89.50	50 Wherewith thine enemies have blasphemed thee, and slandered the footsteps of thine Anointed * Praised be the Lord for evermore. Amen, and Amen.	Wherewith thine enemies have blasphemed thee, and slandered the footsteps of thine Anointed * Praised be the Lord for evermore. Amen, and Amen.	89050	1572
Psalm90.0	Psalm 90. Domine, refugium.	Psalm 90. Domine, refugium.	90000	1573
Psalm90.1	1 LORD, thou hast been our refuge * from one generation to another.	LORD, thou hast been our refuge * from one generation to another.	90001	1574
