LiturgicalProperName	INTROIT ANTIPHON	Antiphon	Verse	COLLECT OF THE DAY	GOSPEL ANTIPHON	Verse	OFFERTORY ANTIPHON	OFFERTORY COLLECT ≡ ORATIO SECRETA	PROPER PREFACE	COMMUNION ANTIPHON	Antiphon	POSTCOMMUNION COLLECT	SEQUENCE	Seq
Trinity VI	Dominus fortitudo. Psalm  28.	THE Lord is the strength of his people, and he is the wholesome defence of his Anointed: O Lord, save thy people, and give thy blessing unto thine inheritance * feed them, and set them up for ever.	Psalm ibid. Unto thee will I cry, O Lord, my God, think no scorn of me * lest, if thou make as though thou hearest not, I become like unto them that go down into the pit. ✠Glory be &c	O GOD, who hast prepared for them that love thee such good things as pass man’s understanding: pour into our hearts such love toward thee; that we, loving thee in all things and above all things, may obtain thy promises, which exceed all that we can desire; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	Psalm 31.	Alleluia, alleluia. In thee, O Lord, have I put my trust, let me never be put to confusion: deliver me in thy righteousness * bow down thine ear to me, make haste to deliver me. Alleluia.	Psalm 17. To hold thou up my goings in thy paths, that my footsteps slip not: incline thine ear to me, and hearken unto my words * shew thy marvellous loving-kindness, O Lord, thou that art the Saviour of them which put their trust in thee.	WE beseech thee, O Lord, to have compassion on our prayers: and graciously to accept the oblations of thy servants and handmaidens; that those things which each hath offered to the honour of thy Name may be profitable unto all for their salvation.  Through &c		Psalm 27.	I will offer in his dwelling an oblation with great gladness * I will sing, and speak praises unto the Lord.	O LORD, who hast satisfied us withy thy heavenly bounties: grant that we may be cleansed from all our secret faults, and delivered from all the crafts and assaults of our enemies. Through &c.		44
Trinity VII	Omnes gentes. Psalm  47.	O CLAP your hands together, all ye people * O sing unto God with the voice of melody.	Psalm ibid. For the Lord is high and to be feared * he is the great king upon all the earth. ✠Glory be &c	LORD of all power and might, who art the author and giver of all good things: graft in our hearts the love of thy Name; increase in us true religion, nourish us with all goodness, and of thy great mercy keep us in the same; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	Psalm 47.	Alleluia, alleluia. O clap your hands together, all ye people * sing unto God with the voice of melody. Alleluia	Psalm 18. Thou shalt save the people that are in adversity, O Lord, and shalt bring down the high looks of the proud * for who is God, but the Lord?	WE BESEECH thee, O Lord, to have compassion on our prayers, and graciously to accept the oblations of thy faithful people: and to the intent that none may ask amiss or fail in his petitions, grant, we beseech thee, that what we ask faithfully, we may obtain effectually.  Through &c		Psalm 31.	Bow down thine ear * make haste to deliver us.	O LORD, who hast vouchsafed to satisfy us with these thy gifts: grant, we beseech thee; that the same may ever cleanse us by their operation, and defend us by their succour. Through &c.		45
Trinity VIII	Suscepimus. Psalm  48.	WE have waited for thy loving-kindness, O God, in the midst of thy temple: O God, according to thy Name, so is thy praise unto the world's end * thy right hand is full of righteousness.	Psalm ibid. Great is the Lord, and highly to be praised * in the city of our God, even upon his holy hill. ✠Glory be &c	O GOD, whose never-failing providence ordereth all things both in heaven and earth: we humbly beseech thee to put away from us all hurtful things; and to give us those things which be profitable for us; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end.  * Amen.	Psalm 48.	Alleluia, alleluia. Great is the Lord, and highly to be praised * in the city of our God, even upon his holy hill. Alleluia.	Psalm 18. Thou shalt save the people that are in adversity, O Lord, and shalt bring down the high looks of the proud * for who is God, but the Lord?	O GOD, who didst ratify the manifold sacrifices of the law by the one perfect sacrifice of our redemption: mercifully accept the oblation of thy bounden servants, and sanctify them with that benediction wherewith thou didst bless the gifts of Abel thy servant; that what each hath offered to the honour of thy majesty may be profitable unto all for their salvation. Through.		Psalm 34.	O taste and see how gracious the Lord is * blessed is he that putteth his trust in him.	GRANT, O Lord, that the power of thy healing may mercifully cleanse us from all our perversities: and lead us henceforth in the paths of righteousness. Through &c.		46
Trinity IX	Ecce Deus. Psalm  54.	BEHOLD, God is my helper,the Lord is with them that uphold my soul: reward thou evil unto mine enemies * and destroy thou them in thy truth, O Lord my defender.	Psalm ibid. Save me, O God, for thy Name's sake  * and avenge me in thy strength. ✠Glory be &c	GRANT to us, Lord, we beseech thee, the spirit to think and do always such things as be rightful: that we, who cannot do any thing that is good without thee; may by thee be enabled to live according to thy will; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	Psalm 59.	Alleluia. alleluia. Deliver me from mine enemies, O God * defend me from them that rise up against me. Alleluia.	Psalm 19. The statutes of the Lord are right, and rejoice the heart, sweeter also than honey, and the honeycomb * and moreover thy servant keepeth them.	ACCEPT, O Lord, we pray thee, the gifts which of thine own bounty we do offer unto thee: that by the powerful operation of thy grace these holy mysteries may sanctify our conversation in this life present, and bring us in the end to everlasting felicity. [ Through.]		St John 6.	He that eateth my Flesh and drinketh my Blood * dwelleth in me, and I in him, saith the Lord.	GRANT, O Lord, we pray thee, that these heavenly mysteries may renew us both in body and soul: that we which have therein offered unto thee our outward worship, may inwardly feel the effectual benefit of the same. Through &c.		47
Trinity X	Cum clamarem. Psalm  55.	WHEN I called upon the Lord, he heard my voice, even from the battle that was against me: yea, even God that endureth for ever shall hear me, and bring them down * O cast thy burden upon the Lord, and he shall nourish thee.	Psalm ibid. Hear my prayer, O Lord, and hide not thyself from my petition * take heed unto me, and hear me. ✠Glory be &c	LET THY merciful ears, O Lord, be open to the prayers of thy humble servants: and that they may obtain their petitions; make them to ask such things as shall please thee; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	Psalm 65.	Alleluia, alleluia. Thou, O God, art praised in Sion * and unto thee shall the vow be performed in Jerusalem. Alleluia.	Psalm 25. Unto thee, O Lord, will I lift up my soul: my God, I have put my trust in thee, O let me not be confounded * neither let mine enemies triumph over me, for all they that hope in thee shall not be ashamed.	O LORD, who hast instituted this sacrifice to be a remembrance of the effectual continuance of the work of our redemption: grant, we pray thee, that we may ever be enabled by thee to draw near in worthiness unto these thy mysteries.  Through &c		Psalm 51.	Thou shalt be pleased with the sacrifice of righteousness * with the burnt offerings and oblations upon thine altar, O Lord.	GRANT, O Lord, we pray thee: that this holy Communion, which we have received, may cleanse us from all our sins, and bestow upon us unity and concord. Through &c.		48
Trinity XI	Deus in loco sancto suo. Psalm  68.	GOD in his holy habitation, he is the God that maketh men to be of one mind in an house * he will give strength and power unto his people.	Psalm ibid. Let God arise, and let his enemies be scattered * let them also that hate him flee before him. ✠Glory be &c	O GOD, who declarest thy almighty power most chiefly in showing mercy and pity: mercifully grant unto us such a measure of thy grace; that we, running the way of thy commandments, may obtain thy gracious promises, and be made partakers of thy heavenly treasure; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	Psalm 81.	Alleluia, alleluia. Sing we merrily unto God our strength, make a cheerful noise unto the God of Jacob * take the psalm, bring hither the tabret. Alleluia.	Psalm 30. I will magnify thee, O Lord, for thou hast set me up, and not made my foes to triumph over me * O Lord, my God, I cried unto thee, and thou hast healed me.	O GOD, who hast ordained a sacrifice, that we, offering the same to thy honour and glory, might receive thereby the healing of all our infirmities: mercifully grant that this our present offering may be made acceptable in thy sight.  Through &c		Proverbs 3.	Honour the Lord with thy substance, and with the firstfruits of all thine increase * so shall thy barns be filled with plenty, and thy presses shall burst out with new wine.	WE humbly beseech thee, O Lord our God, that like as thou ceasest not to renew us with thy heavenly sacraments, so thou wouldest not fail to bestow upon us in all things the succour of thy mercy. Through &c.		49
Trinity XII	Deus in adjutorium. Psalm  79.	HASTE thee, O God, to deliver me: make hast to help me, O Lord * let them be ashamed and confounded, that seek after my soul.	Psalm ibid. Let them be turned backward, and put to confusion * that wish me evil. ✠Glory be &c	ALMIGHTY and everlasting God, who art always more ready to hear than we to pray, and art wont to give more than either we desire or deserve: pour down upon us the abundance of thy mercy; forgiving us those things whereof our conscience is afraid, and giving us those good things which we are not worthy to ask, but through the merits and mediation of Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	Psalm 88.	Alleluia, alleluia. O Lord God of my salvation * I have cried day and night before thee. Alleluia.	Exodus 32. Moses besought the Lord his God, and said: Lord, why doth thy wrath wax hot against thy people? Turn from thy fierce wrath * remember Abraham, Isaac, and Israel, thy servants, to whom thou swarest to give a land flowing with milk and honey. And the Lord repented of the evil which he thought to do unto his people.	REGARD, O Lord, we pray thee, this our bounden duty and service: that this sacrifice may be an oblation acceptable unto thee, and effectually avail for the succour of our frailty.  Through &c		Psalm 104.	The earth, O Lord, is filled with the fruit of thy works: that thou mayest bring food out of the earth, and wine that maketh glad the heart of man * and oil to make him a cheerful countenance, and bread to strengthen man's heart.	WE beseech thee, O Lord, that we which have received this holy sacrament: may in such wise feel the effectual succour of the same; that we being preserved both in body and soul may glory in the fulness of thy heavenly healing. Through &c.		50
Trinity XIII	Respice, Domine. Psalm  74.	LOOK, O Lord, upon the covenant, and forget not the congregation of the poor for ever * arise, O God, maintain thine own cause, and be not unmindful of the voices of them that seek thee.	Psalm ibid. O God, wherefore art thou absent from us so long * why is thy wrath so hot against the sheep in thy pasture? ✠Glory be &c	ALMIGHTY and merciful God, of whose only gift it cometh that thy faithful people do unto thee true and laudable service: grant, we beseech thee; that we may so faithfully serve thee in this life, that we fail not finally to attain thy heavenly promises; through the merits of Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	Psalm 90.	Alleluia, alleluia. Lord, thou hast been our refuge * from one generation to another. Alleluia.	Psalm 31. My hope hath been in thee, O Lord; I have said * thou art my God, my time is in thy hand.	WE beseech thee, O Lord, mercifully to look upon the oblation, which on thine holy altar we do present unto thee: that the same may be profitable unto us for the obtaining of thy pardon, and effectually avail for the increasing of the glory of thy Name.  Through &c		Wisdom 16.	Thou didst send them bread from heaven, O Lord * able to content every man's delight, and agreeing to every taste.	QUICKEN us, O Lord, we pray thee, who have duly received these holy mysteries: that we may be cleansed from all our sins, and defended against all temptations. Through &c.		51
Trinity XIV	Protector noster. Psalm  84.	BEHOLD, O God, our defender, and look upon the face of thine Anointed * for one day in thy courts is better than a thousand.	Psalm ibid. O how amiable are thy dwellings, thou Lord of hosts; my soul hath a desire, and longing to enter into the courts of the Lord. ✠Glory be &c	ALMIGHTY and everlasting God, give unto us the increase of faith, hope, and charity: and, that we may obtain that which thou dost promise; make us to love that which thou dost command; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	Psalm 95.	Alleluia, alleluia. O come, let us sing unto the Lord * let us heartily rejoice in the strength of our salvation. Alleluia.	Psalm 34. The Angel of the Lord tarrieth round about them that fear him, and delivereth them * O taste, and see, how gracious is the Lord.	WE pray thee, O Lord, to look down in mercy on thy people, and on the oblations which they offer unto thee: that being thereby rendered acceptable in thy sight, we may obtain of thee the remission of all our sins, and the effectual fulfilment of all our desires. Through.		St Matthew 6.	Seek ye first the kingdom of God, and all things shall be added unto you * saith the Lord.	O LORD, who here hast fed us with thy heavenly sacraments; grant, we pray thee, that we may thereby grow and increase toward the attainment of everlasting salvation. Through &c.		52
Trinity XV	Inclina, Domine. Psalm  86.	BOW down thine ear, O Lord, and hear me: my God, save thy servant, that putteth his trust in thee * be merciful unto me, O Lord, for I will call daily upon thee.	Psalm ibid. Comfort the soul of thy servant * for unto thee, O Lord, do I lift up my soul. ✠Glory be &c	KEEP, we beseech thee, O Lord, thy Church with thy perpetual mercy: and, because the frailty of man without thee cannot but fall; keep us ever by thy help from all things hurtful, and lead us to all things profitable to our salvation; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end.  * Amen.	Psalm 95.	Alleluia, alleluia. For the Lord is a great God * and a great King above all gods. Alleluia.	Psalm 40:1,3. I waited patiently for the Lord, and he inclined unto me * he heard my calling, and he hath put a new song in my mouth, even a thanksgiving unto our God.	GRANT, we beseech thee, O Lord our God: that this saving Victim may effectually avail, both for the cleansing of our souls from all their sins, and for the obtaining of the favour of thine almighty power. Through.		St John 6.	The bread that I will give is my Flesh * which I will give for the life of the world.	GRANT O Lord we pray thee: that this holy Sacrament may in such wise cleanse and defend us; that we may thereby attain to the fulfilment of everlasting salvation. Through &c.		53
Trinity XVI	Miserere mihi. Psalm  86.	BE MERCIFUL unto me O Lord, for I will call daily upon thee * for thou, O Lord, art good and gracious, and of great mercy unto all them that call upon thee.	Psalm ibid. Bow down thine ear, O Lord, and hear me * for I am poor and in misery. ✠Glory be &c	O LORD, we beseech thee, let thy continual pity cleanse and defend thy Church: and, because she cannot continue in safety without thy succour; preserve her evermore by thy help and goodness; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	Psalm 98.	Alleluia, alleluia. O sing unto the Lord a new song * for he hath done marvelous things. Alleluia.	Psalm 40. Make haste, O Lord, to help me: let them be ashamed and confounded together, that seek after my soul, to destroy it * make haste, O Lord, to help me.	GRANT, O Lord, we pray thee, that by the protection of thy holy sacraments, we may ever be defended against all the assaults off the devil. Through.		Psalm 71.	O Lord, I will make mention of thy righteousness only: thou, O God, hast taught me from my youth up until now * forsake me not, O God, in mine old age, when I am grey-headed.	WE beseech thee, O Lord, that the operation of thy heavenly bounty may in such wise prevail upon us both in body and soul: that the desires of our hearts being done away; we may in all things be governed by the effectual working of the same. Through &c.		54
Trinity XVII	Justus es, Domine. Psalm  119.	RIGHTEOUS art thou, O Lord, and true is thy judgement * O deal with thy servant according unto thy loving mercy.	Psalm ibid. Blessed are those that are undefiled in the way * and walk in the law of the Lord. ✠Glory be &c	LORD, we pray thee that thy grace may always precede and follow us: and make us continually to be given to all good works; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	Psalm 102.	Alleluia, alleluia. Hear my prayer, O Lord * and let my crying come unto thee. Alleluia.	Daniel 9:17,19 I, Daniel, prayed unto the Lord my God, and said: Hear, O Lord, the prayer of thy servant: cause thy face to shine upon thy sanctuary * and mercifully behold this thy people, which is called by thy Name, O God.	CLEANSE us, O Lord, we pray thee, by the effectual working of this our sacrifice: and so accomplish in us the work of thy mercy, that we may be found worthy to be made partakers of the same. Through.		Psalm 76.	Promise unto the LORD your God, and keep it, all ye that are round about him: bring presents unto him that ought to be feared: he shall refrain the spirit of princes * and is wonderful among the kings of the earth.	WE beseech thee, O Lord, that the operation of thy heavenly bounty may in such wise prevail upon us both in body and soul; that the desires of our hearts being done away; we may in all things be governed by the effectual working of the same. Through &c.		55
Trinity XVIII	Da pacem. Ecclesiasticus 36.	GIVE peace, O Lord, unto them that wait for thee, and let thy prophets be found faithful * hear the prayer of thy servants, and of thy people Israel.	Psalm 122. I was glad when they said unto me * we will go into the house of the Lord. ✠Glory be &c	LORD, we beseech thee, grant thy people grace to withstand the temptations of the world, the flesh, and the devil: and with pure hearts and minds to follow thee the only God; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	Psalm 102.	Alleluia, alleluia. The heathen shall fear thy Name, O Lord * and all the kings of the earth thy majesty. Alleluia.	Exodus 24. Moses builded an altar unto the Lord, and offered burnt offerings upon it, and sacrificed peace offerings * and he made an evening sacrifice for a sweet-smelling savour unto the Lord God, in the eyes of the children of Israel.	Almighty God, we humbly beseech thy majesty: that we which here perform these holy mysteries may thereby be absolved from all our former sins, and evermore defended against all temptations. Through.		Psalm 95.	Bring presents and come into his courts * O worship the Lord in the beauty of holiness.	GRANT, we beseech thee, Almighty God: that thy sanctifying power may effectually cleanse us from all our sins, and be profitable for our healing unto life everlasting. Through &c.		56
Trinity XIX	Salus populi. Psalm  78.	I AM the salvation of my people, saith the Lord: in whatsoever tribulation they shall call upon me, I will hear them * and I will be their Lord for ever.	Psalm ibid. Hear my law, O my people * incline your ears unto the words of my mouth. ✠Glory be &c	O GOD, forasmuch as without thee we are not able to please thee: mercifully grant; that thy Holy Spirit may in all things direct and rule our hearts; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the same Holy Spirit, ever one God, world without end. * Amen.	Psalm 105.	Alleluia, alleluia. O give thanks unto thee Lord, and call upon his Name * tell the people what things he hath done. Alleluia.	Psalm 138. Though I walk in the midst of trouble, yet shalt thou refresh me, O Lord * thou shalt stretch forth thy hand upon the furiousness of mine enemies, and thy right hand shall save me.	O GOD, who by the wondrous operation of this sacrifice, dost make us partakers of thy glorious Godhead: grant, we beseech thee, that we which are taught the knowledge of thy truth, may in all our conversation walk worthily of the same. Through.		Psalm 119.	Thou hast charged that we shall diligently keep thy commandments * O that my ways were made so direct, that I might keep thy statutes.	WE render unto thee, O Lord, our hearty thanks, for that thou hast vouchsafed to quicken us with thy heavenly gifts: and we humbly beseech thy mercy, that thou wouldest make us worthy of those things which we have received. Through &c.		57
Trinity XX	Omnia quae facisti. Song of the Three Children.	EVERYTHING that thou hast done to us O Lord, thou hast done in true judgement, for we have trespassed, and not obeyed thy commandments * but give glory to thy Name, and deal with us after thy loving-kindness.	Psalm 119. Blessed are those that are undefiled in the way * and walk in the law of the Lord. ✠Glory be &c	O ALMIGHTY and most merciful God, of thy bountiful goodness keep us, we beseech thee, from all things that may hurt us: that we, being ready both in body and soul: may cheerfully accomplish those things which thou commandest; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	Psalm 108.	Alleluia, alleluia. O God, my heart is ready, my heart is ready * I will sing and give praise with the best member that I have. Alleluia.	Psalm 137. By the waters of Babylon we sat down, and wept * when we remember thee, O Sion.	GRANT, we beseech thee, O Lord, that these gifts, which we offer in the sight of thy majesty, may be profitable unto us for our salvation.  Through &c		Psalm 119.	O think upon thy servant, as concerning thy word, O LORD, wherein thou hast caused me to put my trust * the same is my comfort in my trouble.	GRANT, O LORD, that the power of thy healing may mercifully cleanse us from all our perversities: and make us ever to cleave stedfastly unto thy commandments. Through &c.		58
Trinity XXI	In voluntate tua. Esther 13.	O LORD, the whole world is in thy power, and there is no man that can gainsay thee: for thou hast made heaven and earth, and all the wondrous things under the heaven * thou art Lord of all things.	Psalm 119. Blessed are those that are undefiled in the way * and walk in the law of the Lord. ✠Glory be &c	GRANT, we beseech thee, merciful Lord, to thy faithful people pardon and peace: that they may be cleansed from all their sins; and serve thee with a quiet mind; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	Psalm 114.	Alleluia, alleluia. When Israel came out of Egypt * and the house of Jacob from among the strange people Alleluia.	Job 1. There was a man in the land of Uz whose name was Job: and that man was perfect and upright, and one that feared God: and Satan sought to tempt him: and power was given him by the LORD over his possessions, and over his flesh: and he destroyed all his substance, and his sons * and he smote his flesh with sore boils.	WE BESEECH thee, O Lord, that these holy mysteries may in such wise bestow upon us thy heavenly healing, that our hearts may thereby be cleansed from all their iniquities.  Through &c		Psalm 119.	My soul hath longed for thy salvation, and I have a good hope because of thy word * when wilt thou be avenged of them that persecute me? They persecute me falsely, O be thou my help, O Lord my God.	O LORD, who dost vouchsafe to feed us with these holy gifts: grant we beseech thee: that we may be ever rendered worthy of the same, by walking obediently after thy commandments. Through &c.		59
Trinity XXII	Si iniquitates. Psalm  130.	IF THOU, O Lord, wilt be extreme to mark what is done amiss, O Lord, who may abide it? * For there is mercy with thee, O God of Israel.	Psalm ibid. Out of the depths have I cried unto thee, O Lord * Lord hear my voice. ✠Glory be &c	LORD, we beseech thee to keep thy household the Church in continual godliness: that through thy protection she may be free from all adversities; and devoutly given to serve thee in good works, to the glory of thy Name; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	Psalm 115.	Alleluia, alleluia. Ye that fear the Lord, put your trust in the Lord * he is their helper and defender. Alleluia.	Esther 14. Remember me, O Lord, King of all power * and give me eloquent speech in my mouth that my words may be pleasing at thy sight.	O LORD, who has ordained this sacrifice to be the propitiation for our sins, and the means whereby of thy loving-kindness we are restored unto salvation: mercifully grant that these our oblations may be acceptable in thy sight.  Through &c		Psalm 17.	I have called upon thee, O God, for thou shalt hear me * incline thine ear to me, and hearken unto my words.	O LORD, who hast vouchsafed to bestow upon us the sustenance of everlasting life: we humbly beseech thee that those things which we have received with our outward lips, we may ever inwardly seek in purity of heart. Through &c.		60
Trinity XXIII	Dicit Dominus. Jeremiah 29.	THUS saith the Lord: I know the thoughts that I think toward you, thoughts of peace, and not of evil * ye shall call upon me, and I will hearken unto you and will turn away your captivity from all the nations.	Psalm 85. Lord, thou art become gracious unto thy land * thou hast turned away the captivity of Jacob. ✠Glory be &c	O GOD, our refuge and strength, who art the author of all godliness: be ready, we beseech thee, to hear the devout prayers of thy Church; and grant that those things which we ask faithfully we may obtain effectually; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end.  * Amen.	Psalm 130.	Alleluia, alleluia. Out of the depths have I cried unto thee, O Lord * Lord hear my voice. Alleluia.	Psalm 130. Out of the depths have I cried unto thee, O Lord: Lord, hear my voice * Out of the depths have I cried unto thee, O Lord.	GRANT, we beseech thee, merciful Lord: that by this sacrifice ordained for our salvation, we may evermore be delivered from the bonds of our sins, and defended against all adversities. Through.		St Mark 11.	Therefore I say unto you, what things soever ye desire, when ye pray * believe that ye receive them, and ye shall have them.	O LORD, who hast made us partakers of the gifts of these holy mysteries: we humbly beseech thee, that those things, which thou hast commanded us to do in remembrance of thee, may be profitable to the succour of all our infirmities. Who livest and reignest with the Father.		61
Trinity XXIV	Dicit Dominus. Jeremiah 29.	THUS saith the Lord: I know the thoughts that I think toward you, thoughts of peace, and not of evil: * ye shall call upon me, and I will hearken unto you and will turn away your captivity from all the nations.	Psalm 85. Lord, thou art become gracious unto thy land * thou hast turned away the captivity of Jacob. ✠Glory be &c	O LORD, we beseech thee, absolve thy people from their offences: that through thy bountiful goodness we may all be delivered from the bonds of those sins, which by our frailty we have committed; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	Psalm 130.	Alleluia, alleluia. Out of the depths have I cried unto thee, O Lord * Lord, hear my voice. Alleluia.	Psalm 130. Out of the depths have I cried unto thee, O Lord: Lord, hear my voice * Out of the depths have I cried unto thee, O Lord.	WE offer unto thee, O Lord, this sacrifice of praise to the increasing of our faithfulness in thy service: and we humbly beseech thee, that although we be unworthy of the gifts that thou bestowest, yet thou wouldest of thy mercy accomplish in us the effectual working of the same. Through...		St Mark 11.	Therefore I say unto you, what things soever ye desire, when ye pray * believe that ye receive them, and ye shall have them.	GRANT, we beseech thee, O Lord our God: that we, whom thou hast made partakers of heavenly gladness, may by thee be defended from all earthly perils. Through &c.		62
Trinity XXV	Dicit Dominus. Jeremiah 29.	THUS saith the Lord: I know the thoughts that I think toward you, thoughts of peace, and not of evil: * ye shall call upon me, and I will hearken unto you and will turn away your captivity from all the nations.	Psalm 85. Lord, thou art become gracious unto thy land * thou hast turned away the captivity of Jacob. ✠Glory be &c	O GOD, whose blessed Son was manifested that he might destroy the works of the devil, and make us the sons of God, and heirs of eternal life: grant us, we beseech thee, that, having this hope, we may purify ourselves, even as he is pure; that, when he shall appear again with power and great glory, we may be made like unto him in his eternal and glorious kingdom; where with thee, O Father, and thee, O Holy Spirit, he liveth and reigneth, ever one God, world without end. * Amen.	Psalm 130.	Alleluia, alleluia. Out of the depths have I cried unto thee, O Lord * Lord, hear my voice. Alleluia.	Psalm 130. Out of the depths have I cried unto thee, O Lord: Lord, hear my voice * Out of the depths have I cried unto thee, O Lord.	WE beseech thee, O Lord, to have compassion on our supplications, and to accept the prayers and oblations of thy people: that  the hearts of all men being turned unto thee, we may be delivered from the desire of all things temporal, and follow steadfastly  after things eternal. Through...		St Mark 11.	Therefore I say unto you, what things soever ye desire, when ye pray * believe that ye receive them, and ye shall have them.	GRANT, O Lord, that the effectual  healing  of the sacraments which  we have received may deliver us from all the diseases of our souls. Through... 		62
Christ the King	Dicit Dominus. Jeremiah 29.	THUS saith the Lord: I know the thoughts that I think toward you, thoughts of peace, and not of evil; ye shall call upon me, and I will hearken unto you * and will turn away your captivity from all the nations.	Psalm 85. Lord, thou art become gracious unto thy land * thou hast turned away the captivity of Jacob. ✠Glory be &c	STIR UP, we beseech thee, O Lord, the wills of thy faithful people: that they, plenteously bringing forth the fruit of good works; may of thee be plenteously rewarded; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end.  * Amen.	Psalm 130.	Alleluia, alleluia. Out of the depths have I cried unto thee, O Lord * Lord, hear my voice. Alleluia.	Psalm 130. Out of the depths have I cried unto thee, O Lord: Lord, hear my voice * Out of the depths have I cried unto thee, O Lord.	WE beseech thee, O Lord, to have compassion on our supplications, and to accept the prayers and oblations of thy people: that the hearts of all men being turned unto thee, we may be delivered from the desire of all things temporal, and follow stedfastly after things eternal. Through...		St Mark 11.	Therefore I say unto you, what things soever ye desire, when ye pray * believe that ye receive them, and ye shall have them.	GRANT, O Lord, that the effectual healing of the sacraments which we have received; may deliver us from all the diseases of our souls. Through &c.		63
Ss Peter & Paul, Apostles	Dicit Dominus Petro.	THE Lord said unto Peter: When thou wast young, thou girdest thyself, and walkedst whither thou wouldest, but when thou shalt be old, thou shalt stretch forth thy hands, and another shall gird thee, and carry thee whither thou wouldest not * this spake he, signifying by what death he should glorify God. 	Psalm 19. The heavens declare the glory of God * and the firmament sheweth his handy-work. ✠Glory be &c	O GOD, who hast hallowed this day by the martyrdom of thine Apostles Peter and Paul: grant unto thy Church, in all things to follow the precepts of those through whom she received the beginning of religion: through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.		Alleluia, alleluia. Their sound is gone out into all lands * and their words unto the ends of the world. Alleluia.	Ibid. Right dear are thy friends unto me, O God, and held in highest honour * their rule and governance is exceeding stedfast. Alleluia.	VOUCHSAFE, O Lord, we pray thee, at the intercession of thy holy Apostles, to bless and sanctify these oblations of thy people: and to cleanse us from the defilements of all our iniquities. Through.		St John 21.	Simon, son of Jonas, lovest thou me more than these? Lord thou knowest all things * thou knowest, Lord, that I love thee.	O LORD, who hast vouchsafed to satisfy us thy servants with this heavenly food: grant, that by the intercession of thy holy Apostles; we may be defended against all adversities. Through.		64
Transfiguration of our Lord	Illuxérunt Coruscatióne.	THY lightnings enlightened the world * the earth shook and trembled.	Psalm 83.2,3. How lovely are Thy tabernacles, O Lord of hosts! * my soul longeth and fainteth for the courts of the Lord. ✠Glory be &c	O GOD, who on the holy mount didst reveal to chosen witnesses thine Only Begotten Son wonderfully transfigured, in raiment white and glistening: mercifully grant that we, being delivered from the disquietude of this world; may be permitted to behold the King in his beauty; who with thee, O Father, and thee, O Holy Spirit, liveth and reigneth, ever one God, world without end. * Amen.	Wisdom 7.26.	Alleluia, alleluia. He is the brightness of eternal light, the unspotted mirror * and the image of His goodness. Alleluia.	Ibid. GLORY and wealth are in His house * and His justice remaineth for ever and ever. Alleluia.	HALLOW, O Lord, we beseech Thee, the offerings we offer Thee on the glorious Transfiguration of Thine only-begotten Son, and by the brightness of His glory, cleanse us from the stains of sin. Through the same our Lord.		St Matthew 17.	TELL no one the vision * until the Son of man is raised from the dead.	GRANT, we beseech Thee, almighty God, that we may grasp with purified minds this most holy mystery of the Transfiguration of Thy Son, which we keep with solemn rite. Through the same Jesus Christ, Thy Son &c. 		
