 PropersID	Seq	MM-DD	Collect of the Day
St Fidelis of Sigmaringen, Priest, Martyr	171	 04-24	O GOD, who didst enkindle blessed Fidelis with seraphic ardour of spirit in the propagation of the true Faith, and didst vouchsafe to adorn him with the palm of martyrdom, and with glorious miracles: we beseech thee, that, by his merits and intercession, thou wouldst so confirm us through thy grace in faith and charity; that in thy service we may be worthy to be found faithful, even unto death; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Adalbert of Prague, Bishop, Martyr	172	 04-24	O GOD, who didst bestow the crown of martyrdom on the Bishop Saint Adalbert, as he burned with zeal for souls: grant, we pray, by his prayers; that the obedience of the flock may never fail the shepherds, nor the care of the shepherds be ever lacking to the flock; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Mellitus, Bishop of London	173	 04-24	WE BESEECH thee, O Lord, graciously hear the prayers we offer unto thee on the festival of blessed Mellitus, thy Confessor and Bishop: that, as he was found worthy to do thee fitting service; so by his interceding merits we may be absolved from all our sins; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Mark, Evangelist	174	 04-25	O ALMIGHTY God, who hast instructed thy holy Church with the heavenly doctrine of thy Evangelist Saint Mark: give us grace; that, being not like children carried away with every blast of vain doctrine, we may be established in the truth of thy holy Gospel; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Catherine of Siena, Europe Co-Patron, Virgin, Doctor	175	 04-29	O MERCIFUL God, who gavest to thy servant Saint Catherine of Siena a wondrous love of the Passion of Christ: grant that, through her prayers; we thy people may be united to him in his majesty and rejoice for ever in the revelation of his glory; who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Pius V, Pope	176	 04-30	O GOD, who, for the overthrow of the enemies of thy Church and for the restoring of divine worship, wast pleased to choose blessed Pius to be Supreme Pontiff: grant that we may be defended by his protection, and so cleave to thy service; that overcoming the devices of all our enemies, we may rejoice in perpetual peace; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Joseph the Worker	177	 05-01	O GOD, the Creator of all things, who hast appointed for mankind the law of labour: graciously grant; that through the example and patronage of Saint Joseph we may accomplish the work that thou hast commanded, and attain unto the rewards that thou dost promise; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Athanasius, Bishop, Doctor	178	 05-02	EVERLIVING God, whose servant Saint Athanasius bore witness to the mystery of the Word made flesh for our salvation: give us grace, with all thy Saints, to contend for the truth and to grow into the likeness of thy Son, Jesus Christ our Lord; who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Ss Philip & James the Less, Apostles	179	 05-03	O ALMIGHTY God, whom truly to know is everlasting life: grant us perfectly to know thy Son Jesus Christ to be the way, the truth and the life; that, following the steps of thy holy Apostles, Saint Philip and Saint James, we may steadfastly walk in the way that leadeth to eternal life; through the same thy Son Jesus Christ our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
English Martyrs	180	 05-04	O MERCIFUL God, who, when thy Church on earth was torn apart by the ravages of sin, didst raise up men and women in England who witnessed to their faith with courage and constancy: give unto thy Church that peace which is thy will, and grant that those who have been divided on earth may be reconciled in heaven and be partakers together in the vision of thy glory; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Asaph of Wales, Bishop	181	 05-05	GRANT, O Lord, we pray thee: that, as Saint Asaph made an offering of perpetual praise in thy Church; so through his intercession thou mayest sustain us in devoted service of thy Name; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St John the Apostle in Eastertide	182	 05-06	O GOD, who with the oil of gladness didst anoint blessed John a companion in the tribulation and patience of the Lord Jesus: grant us likewise so to rejoice in the fellowship of Christ’s sufferings; that when his glory shall be revealed, we may be glad with exceeding joy; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Pancras, Martyr	183	 05-12	MAY THY Church rejoice, O God, confident in the intercession of the Martyr Saint Pancras: and by his glorious prayers may she persevere in devotion to thee and stand ever firm; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Ss Nereus & Achilleus, Martyrs	184	 05-12	GRANT, O Lord, that this holy festival of thy blessed Martyrs, Nereus and Achilleus may ever assist us in thy service; and that we may thereby be rendered worthy to walk after thy commandments; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Our Lady of Fátima	185	 05-13	O GOD, who didst choose the Mother of thy Son to be our Mother also: grant us that, persevering in penance and prayer for the salvation of the world; we may further more effectively each day the reign of Christ; who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Matthias, Apostle	186	 05-14	O ALMIGHTY God, who into the place of the traitor Judas didst choose thy faithful servant Matthias to be of the number of the twelve Apostles: grant that thy Church, being alway preserved from false Apostles; may be ordered and guided by faithful and true pastors; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St John I, Pope, Martyr	187	 05-18	O EVERLASTING Shepherd, mercifully look upon thy flock: and through blessed John, thy Martyr and Supreme Pontiff, whom thou didst appoint to be shepherd of the whole Church; keep her with thy perpetual protection; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Dunstan, Archbishop of Canterbury	188	 05-19	O GOD, who dost ever hallow and protect thy Church: raise up therein through thy Spirit good and faithful stewards of the mysteries of Christ, as thou didst in thy Bishop Dunstan; that by their ministry and example thy people may abide in thy favour and walk in the way of truth; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Bernardine of Siena, Priest	189	 05-20	O LORD Jesus Christ, who didst endue blessed Bernardine, thy Confessor, with pre-eminent love of thy most holy Name: we beseech thee, that, by the virtue of his merits and intercession; thou wouldest graciously pour into our hearts the spirit of love towards thee; who livest and reignest with the Father in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Ss Christopher Magallanes, Priest, & Companions, Martyrs	190	 05-21	ALMIGHTY and eternal God, who madest Saint Christopher Magallanes and his Companions faithful to Christ the King even unto martyrdom: grant us, through their intercession; that, persevering in confession of the true faith, we may always hold fast to the commandments of thy love; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Godric of Finchale, Religious	191	 05-21	Common of Holy Men and Women: For Religious
St Helena	192	 05-21	O LORD Jesus Christ, who didst reveal to blessed Helena the place where thy Cross lay hid, that through her, thou mightest enrich thy Church with this precious treasure: grant unto us at her intercession; that by the ransom of the life-giving Tree we may attain unto the rewards of eternal life; who livest and reignest with the Father, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Rita of Cascia, Religious	193	 05-22	BESTOW upon us, we pray, O Lord, the wisdom and strength of the Cross, with which thou wert pleased to endow Saint Rita: so that, suffering in every tribulation with Christ; we may participate ever more deeply in his Paschal Mystery; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Petroc, Abbot	194	 05-23	Common of Holy Men and Women: For an Abbot
St Aldhelm, Bishop	195	 05-24	O GOD, who as on this day didst exalt thy blessed Bishop Saint Aldhelm to everlasting felicity: we pray thee, that by his merits and intercession; thy mercy may bring us unto that place whither he is gone before; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Bede the Venerable, Priest, Doctor	196	 05-25	O GOD, who hast caused thy Church to shine with the learning of blessed Bede thy Confessor and Doctor: mercifully grant, that we thy servants may ever be enlightened by his wisdom, and holpen for his merits’ sake; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Philip Neri, Founder, Priest	197	 05-26	O GOD, who didst exalt thy blessed Confessor Philip to the glory of thy Saints: mercifully grant; that we, who rejoice in his festival, may learn to follow rightly the example of his virtues; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Augustine of Canterbury, Bishop	198	 05-27	O GOD, who by the preaching and miracles of blessed Augustine thy Confessor and Bishop, hast enlightened the English people with the light of the true faith: mercifully grant; that by his intercession the hearts of them that have gone astray may return to the unity of thy truth; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Gregory VII, Pope	199	 05-28	O GOD, the strength of them that put their trust in thee, who didst stablish thy blessed Confessor and Pope Gregory the Seventh with the strength of constancy to defend the freedom of thy Church: grant, we pray thee; that by his prayers and good example, we may valiantly conquer all things contrary to our salvation; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Mary Magdalene de’ Pazzi, Virgin	200	 05-28	O GOD, lover of virginity, who didst adorn with heavenly gifts the Virgin Saint Mary Magdalene de’ Pazzi, setting her on fire with thy love: grant, we pray, that we, who honour her today, may imitate her example of purity and love; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Visitation of our Lady	201	 05-31	O GOD, who didst lead the Blessed Virgin Mary to visit Elizabeth, to their exceeding joy and comfort: grant unto thy people; that as Mary did rejoice to be called the Mother of the Lord, so we may ever rejoice to believe the Incarnation of thine Only Begotten Son; who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Immaculate Heart of Mary	202		ALMIGHTY and everlasting God, who in the Heart of the Blessed Virgin Mary didst prepare an habitation meet for the Holy Spirit: mercifully grant; that we, celebrating with devout mind the festival of the same Immaculate Heart, may be enabled to live after thine own heart; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the same Holy Spirit, ever one God, world without end. * Amen.
St Justin, Martyr	203	 06-01	O GOD, who through the foolishness of the Cross didst wondrously teach blessed Justin Martyr the excellent knowledge of Jesus Christ: grant to us by his intercession; that, driving away the errors that beset us, we may attain unto steadfastness of faith; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Ss Marcellinus & Peter, Martyrs	204	 06-02	O GOD, who makest us glad with the yearly festival of thy Martyrs, Marcellinus and Peter: grant, we beseech thee; that as we do rejoice in their merits, so we may be enkindled to follow them in all virtuous and godly living; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Ss Charles Lwanga & Companions, Martyrs	205	 06-03	O GOD, who hast made the blood of Martyrs to be the seed of Christians: mercifully grant that the field which is thy Church, watered with the blood shed by Saints Charles Lwanga and his Companions, may be fertile and always yield thee an abundant harvest; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Boniface, Bishop, Martyr	206	 06-05	O GOD, who raised up the holy Bishop and Martyr Saint Boniface from the English nation to enlighten many peoples with the Gospel of Christ: grant, we pray; that we may firmly hold and confidently profess the faith he taught with his lips and sealed with his blood, through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Norbert, Founder, Bishop	207	 06-06	O GOD, who didst make blessed Norbert thy Confessor and Bishop an illustrious preacher of thy Word, and through him didst render thy Church fruitful with a new offspring: grant, we beseech thee; that by his intercession and merits, we may be enabled by thy help to practise what he taught, both in word and deed; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Columba of Iona, Abbot	208	 06-09	We pray thee, O Lord, inspire our hearts with the desire of heavenly glory: and grant that we, bringing our sheaves with us, may hither attain where the holy Abbot Columba shineth like a star before thee; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Ephrem of Edessa, Deacon, Doctor	209	 06-09	O GOD, who didst will to illumine thy Church with the wondrous learning and splendid merits of blessed Ephrem, thy Confessor and Doctor: we humbly beseech thee, at his intercession; that thou wouldst ever defend her by thy continual power against the snares of error and wickedness; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Barnabas, Apostle	210	 06-11	O LORD God almighty, who didst endue thy holy Apostle Barnabas with singular gifts of the Holy Spirit: leave us not, we beseech thee, destitute of thy manifold gifts, nor yet of grace to use them always to thy honour and glory; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Anthony of Padua, Priest, Doctor	211	 06-13	GRANT, O Lord, that the solemn festival of thy holy Confessor Saint Anthony may bring gladness to thy Church: that being defended by thy succour in all things spiritual; we may found worthy to attain to everlasting felicity; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Richard of Chichester, Bishop	212	 06-16	MOST merciful Redeemer, who gavest to thy Bishop Richard a love of learning, a zeal for souls, and a devotion to the poor: grant that, encouraged by his example, and aided by his prayers; we may know thee more clearly, love thee more dearly, and follow thee more nearly, day by day; who livest and reignest with the Father in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Romuald, Abbot	213	 06-19	O GOD, who through Saint Romuald didst renew the manner of life of hermits in thy Church: grant, we beseech thee; that, denying ourselves and following Christ, we may merit to reach the heavenly realms on high; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Alban, Britain Proto-Martyr	214	 06-20	O ETERNAL Father, who, when the Gospel of Christ first came to England, didst gloriously confirm the faith of Alban by making him the first to win the martyr’s crown: grant that, assisted by his prayers and following his example in the fellowship of the Saints; we may worship thee, the living God, and faithfully witness to Jesus Christ thy Son our Lord; who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Aloysius Gonzaga, Religious	215	 06-21	O GOD, the giver of all spiritual gifts, who in the angelic youth of thy blessed Saint Aloysius didst unite a wondrous penitence to a wondrous innocence of life: grant, by his merits and intercession; that although we have not followed the pattern of his innocence, yet we may imitate the example of his penitence; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Ss John Fisher, Bishop, & Thomas More, Martyrs	216	 06-22	O GOD, who didst raise up amongst the English people thy blessed Martyrs John and Thomas to be defenders of the faith and to witness to the primacy of the Roman Church: grant by their merits and prayers; that in the profession of one faith we may all be made one in Christ, and in him continue to be at one with one another; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Etheldreda, Abbess	217	 06-23	O GOD, who art the Spouse of virgin souls, the refreshment of the pure in heart, and the salvation of all who love thee: mercifully grant that we, who reverently celebrate the feast of thy blessed virgin Etheldreda; may through her prayers obtain mercy of thy divine majesty; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Nativity of St John the Baptist:Vigil	218	 06-23	GRANT, we beseech thee, almighty God, that thy family may walk in the way of salvation: that following the teachings of thy holy Forerunner, Saint John; we may attain in safety to him  whom he foretold, thy Son Jesus Christ our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Nativity of St John the Baptist	219	 06-24	ALMIGHTY God, by whose providence thy servant Saint John the Baptist was wonderfully born, and sent to prepare the way of thy Son our Saviour, by preaching of repentance: make us so to follow his doctrine and holy life, that we may truly repent according to his preaching; and after his example constantly speak the truth, boldly rebuke vice, and patiently suffer for the truth’s sake; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Cyril of Alexandria, Bishop, Doctor	220	 06-27	O GOD, who didst strengthen thy blessed Confessor and Bishop Saint Cyril, invincibly to maintain the divine motherhood of the Blessed Virgin Mary: vouchsafe; that at his intercession we, believing her to be indeed the Mother of God, may as her children rejoice in her protection; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Irenaeus of Lyons, Bishop, Doctor, Martyr	221	 06-28	O GOD, who didst bestow upon blessed Irenaeus, thy Martyr and Bishop, grace to overcome false doctrine by the teaching of the truth, and to establish thy Church in peace and prosperity: we beseech thee, that thou wouldest give thy people constancy in thy true religion; and grant us thy peace all the days of our life; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
SS PETER & PAUL, APOSTLES	222	 06-29	Vigil: O GOD, who didst give such grace unto thy holy Apostles Saint Peter and Saint Paul, that they were enabled to bear witness to the truth by their death: grant unto thy Church; that, as in the beginning she was enlightened by their teaching, so by their intercession she may continue in the same unto the coming of our Lord Jesus Christ; who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.  O GOD, who hast hallowed this day by the martyrdom of thine Apostles Peter and Paul: grant unto thy Church, in all things to follow the precepts of those through whom she received the beginning of religion: through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
First Martyrs of the See of Rome	223	 06-30	O GOD, who didst consecrate the abundant first fruits of the Roman Church by the blood of the Martyrs: grant, we beseech thee; that with firm courage we may together draw strength from so great a struggle and ever rejoice at the triumph of faithful love; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Oliver Plunket, Bishop, Martyr	224	 07-01	O GOD, who for the defence of the Catholic faith didst vouchsafe to endue blessed Oliver, thy Martyr and Bishop, with wondrous strength of spirit: grant unto us by his intercession and example; that we may imitate his constancy in faith, and in danger perceive his advocacy; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Thomas, Apostle	225	 07-03	ALMIGHTY and everliving God, who for the greater confirmation of the faith didst suffer thy holy Apostle Thomas to be doubtful in thy Son’s Resurrection: grant us so perfectly, and without all doubt, to believe in thy Son Jesus Christ; that our faith in thy sight may never be reproved; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Elizabeth of Portugal, Queen, Widow	226	 07-04	O GOD, the author of peace and lover of charity, who didst adorn Saint Elizabeth of Portugal with a marvellous grace for reconciling those in conflict: grant, through her intercession; that we may become peacemakers, and so be called children of God; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Anthony Mary Zaccaria, Priest	227	 07-05	GRANT us, O Lord God almighty: that we, being filled with the spirit of thy blessed Apostle Paul; may learn that pre-eminent knowledge of Christ Jesus, whereby thou didst wondrously teach blessed Anthony Mary to establish in thy Church new households of priests and virgins; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Maria Goretti, Virgin, Martyr	228	 07-06	O GOD, the author of innocence and lover of chastity, who didst bestow the grace of martyrdom on thy handmaid, the Virgin Saint Maria Goretti, in her youth: grant, we pray, through her intercession; that, as thou gavest her a crown for her steadfastness, so we too may be firm in obeying thy commandments; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Augustine Zhao Rong & Companions, Martyrs	229	 07-09	O GOD, who in thy wonderful providence hast strengthened thy Church through the confession of the Martyrs Saint Augustine Zhao and Companions: grant that thy people, faithful to the mission entrusted to them, may enjoy ever greater freedom, and witness to the truth before the world; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Benedict of Nursia, Europe Patron, Founder, Abbot	230	 07-11	O ETERNAL God, who didst make thy Abbot Saint Benedict a wise master in the school of thy service, and a guide for many called into the common life to follow the rule of Christ: grant that we may put thy love above all things; and seek with joy the way of thy commandments; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St John Jones of Wales, Priest, Martyr	231	 07-12	O GOD, by whose grace Saint John Jones combined a love of the Cross with a zeal for souls and gave his life for his priestly fidelity: grant us, we beseech thee, through his intercession, constant fervour; and bring us to a share in his reward; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Henry of Bavaria, Holy Roman Emperor	232	 07-13	O GOD, whose abundant grace prepared Saint Henry to be raised by thee in a wonderful way from the cares of earthly rule to heavenly realms: grant, we pray, through his intercession; that amid the uncertainties of this world we may hasten towards thee in perfect purity of heart; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Camillus of Lellis, Priest	233	 07-14	O GOD, who for the comfort of souls striving in their last agony, didst adorn Saint Camillus with singular gifts of charity: we beseech thee, by his merits, to pour upon us the spirit of thy love; that in the hour of our death we may be worthy to overcome the enemy and to attain to the heavenly crown; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Swithun, Bishop	234	 07-15	ALMIGHTY God, by whose grace we celebrate again the festival of thy servant Swithun: grant that, as he governed with gentleness the people committed to his care; so we, rejoicing in our inheritance in Christ, may ever seek to build up thy Church in unity and love; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Osmund, Bishop	235	 07-16	O GOD, whose miracles of old we perceive to shine forth even in our time to the glory and praise of thy Name, and to the honour of thy holy Confessor and Bishop Saint Osmund: mercifully grant; that we who keep his festival may by his prayers both glorify thee in this present time, and be deemed worthy to enjoy thee in the world to come; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Margaret of Antioch, Virgin, Martyr	236	 07-20	GRANT, O Lord: that, like as blessed Margaret, thy Virgin and Martyr, by the merits of her chastity and the godliness of her conduct did ever walk acceptably in thy sight; so she may at all times effectually intercede for our forgiveness; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Laurence of Brindisi, Priest, Doctor	237	 07-21	O GOD, who didst bestow on blessed Laurence of Brindisi, thy Confessor and Doctor, the spirit of wisdom and fortitude to endure every labour for the glory of thy Name and the salvation of souls: grant us, in the same spirit, both to perceive what we ought to do, and by his intercession to perform the same; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Mary Magdalene	238	 07-22	O ALMIGHTY God, whose blessed Son did call and sanctify Mary Magdalen to be a witness to his Resurrection: mercifully grant that by thy grace, and assisted by her prayers; we may be healed of all our infirmities, and always serve thee in the power of his endless life; who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Bridget of Sweden, Europe Co-Patron	239	 07-23	O GOD Most High, the Creator of all mankind: we bless thy holy Name for the virtue and grace which thou hast given unto holy women in all ages, especially Saint Bridget; and we pray that her intercession and the example of her faith and purity may inspire many souls in this generation to look unto thee, and to follow thy blessed Son Jesus Christ our Lord; who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Charbel Makhlouf, Priest	240	 07-24	O GOD, who didst call the Priest Saint Sharbel Makhlūf to the solitary combat of the desert and imbued him with all manner of devotion: grant us, we pray thee; that, being made imitators of the Lord’s Passion, we may merit to be coheirs of his kingdom; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St James the Great, Spain Patron, Apostle	241	 07-25	GRANT, O merciful God, that as thine holy Apostle Saint James, leaving his father and all that he had, without delay was obedient unto the calling of thy Son Jesus Christ, and followed him: so we, forsaking all worldly and carnal affections; may be evermore ready to follow thy holy commandments; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Ss Joachim & Anne, Parents of our Lady	242	 07-26	O GOD, who didst choose blessed Joachim and holy Anne that of them might be born the Mother of thine Only Begotten Son: grant unto us at their intercession; a place in the fellowship of thine elect, wherein for ever to praise thee for thy loving kindness; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Ss Martha, Mary & Lazarus	243	 07-29	ALMIGHTY and most merciful God, whose Son did vouchsafe to be welcomed in the home of blessed Martha: grant, we beseech thee, by the merits of her who lovingly served him; that we of thy mercy may be received into our heavenly home; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Peter Chrysologus, Bishop, Doctor	244	 07-30	O GOD, who madest the Bishop Saint Peter Chrysologus an illustrious preacher of thy incarnate Word: grant, through his intercession; that we may constantly ponder in our hearts the mysteries of thy salvation and faithfully manifest them in our lives; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Ignatius of Loyola, Founder, Priest	245	 07-31	O GOD, who for the greater glory of thy Name, didst endue thy Church militant with an increase of strength through the life and labours of blessed Ignatius: grant us, by his help and example, so to wage our earthly warfare; that with him we may be found worthy of a heavenly crown; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Alphonsus Liguori, Bishop, Doctor	246	 08-01	O GOD, who didst inflame blessed Alphonsus, thy Confessor and Bishop, with zeal for souls, and didst through him enrich thy Church with a new offspring: we beseech thee; that being taught by his wholesome precepts and strengthened by his example, we may be enabled to attain in gladness unto thee; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Peter Julian Eymard, Priest	247	 08-02	O GOD, who didst adorn Saint Peter Julian Eymard with a wonderful love for the sacred mysteries of the Body and Blood of thy Son: graciously grant that we, too, may be worthy to receive the delights he drew from this divine banquet; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Germanus of Auxerre, Bishop	248	 08-03	O LORD, who didst call Saint Germanus to Wales to confirm the faith and strengthen monastic life: grant that through his intercession and example we may attain a share in the glory of Christ; who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St John Mary Vianney, Priest	249	 08-04	ALMIGHTY and merciful God, who didst wonderfully endue Saint  John Vianney with pastoral zeal and a continual desire for prayer and penance: grant, we beseech thee; that by his example and intercession, we may win the souls of our brethren for Christ, and with them attain glory everlasting; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Oswald, King & Martyr	250	 08-05	ALMIGHTY everlasting God, who by the martyrdom of blessed King Oswald hast hallowed this day with holy joy and gladness: grant unto our hearts the increase of thy charity; that we, who honour his glorious battle for the faith, may imitate his constancy even unto death; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
